title,author,author code,year,figures,description,genre,magazine
Dva dny pod zlatým stromem,"Lazecký, František",jk01071691,198u,"Čep, Jan;Vašica, Josef",čeští spisovatelé;čeští básníci;kněží;literární historici;cesty a pobyt,vzpomínky;české prózy,[Vzpomínky na Jana Čepa] [samizdat]
Když se řekne Werich,,,1986,"Werich, Jan",blahopřání,sborníky,
"Dobrý den, pane Werichu!","Lederer, Jiří",jk01071746,1986,"Werich, Jan",sborníky;výročí;editorská práce,předmluvy;dopisy,Když se řekne Werich [samizdat]
Doslov Jiřího Voskovce :,"Voskovec, Jiří",jk01150746,1986,"Werich, Jan",čeští dramatici;čeští spisovatelé;herci;výročí,doslovy,Když se řekne Werich [samizdat]
Z poznámek Jiřího Lederera,"Lederer, Jiří",jk01071746,1986,"Werich, Jan;Boháč, Antonín;Horníček, Miroslav",sborníky;výročí,doslovy,Když se řekne Werich [samizdat]
Něco jako doslov...,"Přibáň, Michal",jn20001005206,1986,"Werich, Jan",čeští spisovatelé;literatura a politika,doslovy,Když se řekne Werich [samizdat]
O autorovi.,,,1986,"Lederer, Jiří",novináři;čeští spisovatelé,medailony;bio-bibliografické poznámky,Když se řekne Werich [samizdat]
"[Přátelé, příteli...]","Werich, Jan",jk01151601,1986,"Werich, Jan",výročí,dopisy,Když se řekne Werich [samizdat]
"Co si představuju, že ví klaun","Uhde, Milan",jk01140606,1986,"Werich, Jan",české drama,blahopřání,Když se řekne Werich [samizdat]
[Ironie osudu:...],"Topol, Josef",jk01132796,1986,"Werich, Jan",literatura a politika,úryvky;blahopřání,Když se řekne Werich [samizdat]
"[Je to snad zvláštní,...]","Trefulka, Jan",jk01140076,1986,"Werich, Jan",čeští dramatici;čeští spisovatelé;herci;klauni,úvahy;črty,Když se řekne Werich [samizdat]
"Bože, Werich","Tatarka, Dominik",jn19990008429,1986,"Werich, Jan",,eseje;úryvky,Když se řekne Werich [samizdat]
"[Pojmy se změnily, slova zlaciněla...]","Sus, Oleg",jk01121796,1986,"Werich, Jan",šašci;národní mentalita,úvahy;úryvky;blahopřání,Když se řekne Werich [samizdat]
"[Milý Jene,...]","Seifert, Jaroslav",jk01110657,1986,"Werich, Jan",výročí,blahopřání,Když se řekne Werich [samizdat]
[Když se řekne Werich?...],"Pistorius, Luboš",jk01093199,1986,"Werich, Jan",,úvahy;úryvky,Když se řekne Werich [samizdat]
[Když veliká bída],"Pick, Jiří Robert",jk01092970,1986,,,česká poezie,Když se řekne Werich [samizdat]
Láska a úcta,"Brauner, Bohumil",ola200208756,198u,"Čep, Jan;Florian, Josef;Zahradníček, Jan;Dokulil, Jan;Bernanos, Georges",čeští spisovatelé;překladatelé;literární život,vzpomínky,[Vzpomínky na Jana Čepa] [samizdat]
Na toulkách s básníkem,"Strouhal, Martin",jk01121501,198u,"Čep, Jan",čeští spisovatelé;cesty a pobyt;druhá světová válka (1939-1945),vzpomínky,[Vzpomínky na Jana Čepa] [samizdat]
Vzpomínka na Jana Čepa,"Svozil, Oldřich",jk01122149,198u,"Čep, Jan",čeští spisovatelé;druhá světová válka (1939-1945);kulturní časopisy,vzpomínky,[Vzpomínky na Jana Čepa] [samizdat]
Malá vzpomínka na Jana Čepa,"Babler, Otto František",jk01010495,198u,"Čep, Jan;Muth, Carl;Fuchs, Friedrich",čeští spisovatelé;česká povídka;překlady z češtiny;překlady do němčiny;druhá světová válka (1939-1945),vzpomínky,[Vzpomínky na Jana Čepa] [samizdat]
"[Velkolepý komediant a básník,...]","Pavlíček, František",jk01092088,1986,"Werich, Jan",čeští dramatici,úryvky;medailony,Když se řekne Werich [samizdat]
"[Pravda, kterou postřehne...]","Opavský, Jaroslav",jk01091175,1986,"Werich, Jan",charakter;odvaha,úryvky,Když se řekne Werich [samizdat]
"Jak vznikla ""Sestra úzkost""","Tichý, Josef",,198u,"Čep, Jan",čeští spisovatelé;česká povídka;edice;výbory z díla,vzpomínky,[Vzpomínky na Jana Čepa] [samizdat]
Peníz exulantův,"Kratochvil, Antonín",jk01062954,198u,"Čep, Jan;Zahradníček, Jan;Fučík, Bedřich;Frynta, Emanuel;Voříšek, Rudolf;Černý, Rudolf;Damborský, Ondřej P.",čeští spisovatelé;exiloví spisovatelé;exilová literatura;antologie;česká povídka,vzpomínky,[Vzpomínky na Jana Čepa] [samizdat]
U chorého básníka :,"Ilenčík, Andrej",,198u,"Čep, Jan",čeští spisovatelé;emigranti;nemoc;rodina,vzpomínky,[Vzpomínky na Jana Čepa] [samizdat]
